quantile,threshold,macro_avg_recall,weighted_avg_recall,avg_recall,classification_report_dict
0.5,15135.0556640625,0.563503069884429,0.5431290163124073,0.5533160430984181,"{'Normal': {'precision': 0.826340830449827, 'recall': 0.5275334306339, 'f1-score': 0.6439629228361623, 'support': 50702.0}, 'Anomaly': {'precision': 0.25991720217498765, 'recall': 0.599472709134958, 'f1-score': 0.3626136804448084, 'support': 14034.0}, 'accuracy': 0.5431290163124073, 'macro avg': {'precision': 0.5431290163124073, 'recall': 0.563503069884429, 'f1-score': 0.5032883016404853, 'support': 64736.0}, 'weighted avg': {'precision': 0.703546879646424, 'recall': 0.5431290163124073, 'f1-score': 0.5829697309843294, 'support': 64736.0}}"
0.501,15135.185258789063,0.5618696049857043,0.542588358872961,0.5522289819293327,"{'Normal': {'precision': 0.8251472265902013, 'recall': 0.5278292769515995, 'f1-score': 0.6438202922956637, 'support': 50702.0}, 'Anomaly': {'precision': 0.25889236293842677, 'recall': 0.595909933019809, 'f1-score': 0.360964240239981, 'support': 14034.0}, 'accuracy': 0.542588358872961, 'macro avg': {'precision': 0.5420197947643141, 'recall': 0.5618696049857043, 'f1-score': 0.5023922662678224, 'support': 64736.0}, 'weighted avg': {'precision': 0.7023898619632704, 'recall': 0.542588358872961, 'f1-score': 0.5825004419102607, 'support': 64736.0}}"
0.502,15135.328125,0.5605545652225032,0.5422639644092931,0.5514092648158981,"{'Normal': {'precision': 0.8241737953104806, 'recall': 0.5282631848842255, 'f1-score': 0.6438461538461538, 'support': 50702.0}, 'Anomaly': {'precision': 0.25808052608722626, 'recall': 0.592845945560781, 'f1-score': 0.359612724757953, 'support': 14034.0}, 'accuracy': 0.5422639644092931, 'macro avg': {'precision': 0.5411271606988535, 'recall': 0.5605545652225032, 'f1-score': 0.5017294393020534, 'support': 64736.0}, 'weighted avg': {'precision': 0.7014514624465541, 'recall': 0.5422639644092931, 'f1-score': 0.5822277043926224, 'support': 64736.0}}"
0.503,15135.459672851563,0.5595025997458276,0.5421094908551656,0.5508060453004966,"{'Normal': {'precision': 0.8233830845771144, 'recall': 0.5287957082560846, 'f1-score': 0.643999807840123, 'support': 50702.0}, 'Anomaly': {'precision': 0.2574438988002735, 'recall': 0.5902094912355708, 'f1-score': 0.35850934903047094, 'support': 14034.0}, 'accuracy': 0.5421094908551656, 'macro avg': {'precision': 0.540413491688694, 'recall': 0.5595025997458276, 'f1-score': 0.501254578435297, 'support': 64736.0}, 'weighted avg': {'precision': 0.7006941551840072, 'recall': 0.5421094908551656, 'f1-score': 0.5821088491937028, 'support': 64736.0}}"
0.504,15135.6168359375,0.5582330492877015,0.5418159911023233,0.5500245201950124,"{'Normal': {'precision': 0.822447666043461, 'recall': 0.5292493392765572, 'f1-score': 0.6440494905735098, 'support': 50702.0}, 'Anomaly': {'precision': 0.25665701205269553, 'recall': 0.5872167592988456, 'f1-score': 0.3571939405760354, 'support': 14034.0}, 'accuracy': 0.5418159911023233, 'macro avg': {'precision': 0.5395523390480783, 'recall': 0.5582330492877015, 'f1-score': 0.5006217155747725, 'support': 64736.0}, 'weighted avg': {'precision': 0.6997909365868, 'recall': 0.5418159911023233, 'f1-score': 0.5818625962849446, 'support': 64736.0}}"
0.505,15135.7939453125,0.5567914031531993,0.5414143598615917,0.5491028815073955,"{'Normal': {'precision': 0.8213990762548558, 'recall': 0.5296438010334898, 'f1-score': 0.6440194256250374, 'support': 50702.0}, 'Anomaly': {'precision': 0.25575008582217645, 'recall': 0.5839390052729087, 'f1-score': 0.355708922021833, 'support': 14034.0}, 'accuracy': 0.5414143598615917, 'macro avg': {'precision': 0.5385745810385161, 'recall': 0.5567914031531993, 'f1-score': 0.49986417382343523, 'support': 64736.0}, 'weighted avg': {'precision': 0.6987730577839552, 'recall': 0.5414143598615917, 'f1-score': 0.5815171145837719, 'support': 64736.0}}"
0.506,15135.9052734375,0.5554665018460749,0.5410745180425112,0.548270509944293,"{'Normal': {'precision': 0.8204353268003786, 'recall': 0.5300579858782691, 'f1-score': 0.6440288045627194, 'support': 50702.0}, 'Anomaly': {'precision': 0.2549172894712155, 'recall': 0.5808750178138806, 'f1-score': 0.35433464455697306, 'support': 14034.0}, 'accuracy': 0.5410745180425112, 'macro avg': {'precision': 0.537676308135797, 'recall': 0.5554665018460749, 'f1-score': 0.4991817245598462, 'support': 64736.0}, 'weighted avg': {'precision': 0.6978376974152224, 'recall': 0.5410745180425112, 'f1-score': 0.5812265331600895, 'support': 64736.0}}"
0.507,15135.958291015624,0.5537321967932771,0.540456623826001,0.5470944103096391,"{'Normal': {'precision': 0.8192011212333566, 'recall': 0.5302946629324287, 'f1-score': 0.6438226596266896, 'support': 50702.0}, 'Anomaly': {'precision': 0.25379915400282, 'recall': 0.5771697306541257, 'f1-score': 0.35256480010446367, 'support': 14034.0}, 'accuracy': 0.540456623826001, 'macro avg': {'precision': 0.5365001376180883, 'recall': 0.5537321967932771, 'f1-score': 0.49819372986557664, 'support': 64736.0}, 'weighted avg': {'precision': 0.6966286544743145, 'recall': 0.540456623826001, 'f1-score': 0.5806813966426481, 'support': 64736.0}}"
0.508,15136.04041015625,0.5523716677250012,0.5401013346515077,0.5462365011882544,"{'Normal': {'precision': 0.8182205193699447, 'recall': 0.530708847777208, 'f1-score': 0.643824472412308, 'support': 50702.0}, 'Anomaly': {'precision': 0.25293563579277867, 'recall': 0.5740344876727946, 'f1-score': 0.3511463691046988, 'support': 14034.0}, 'accuracy': 0.5401013346515077, 'macro avg': {'precision': 0.5355780775813617, 'recall': 0.5523716677250012, 'f1-score': 0.49748542075850344, 'support': 64736.0}, 'weighted avg': {'precision': 0.6956734349637109, 'recall': 0.5401013346515077, 'f1-score': 0.5803753173545505, 'support': 64736.0}}"
0.509,15136.0908203125,0.5515668718615465,0.5401322293623332,0.5458495506119398,"{'Normal': {'precision': 0.8176134984219471, 'recall': 0.5313794327639936, 'f1-score': 0.6441293901068688, 'support': 50702.0}, 'Anomaly': {'precision': 0.2524540649383338, 'recall': 0.5717543109590993, 'f1-score': 0.35025535815618314, 'support': 14034.0}, 'accuracy': 0.5401322293623332, 'macro avg': {'precision': 0.5350337816801405, 'recall': 0.5515668718615465, 'f1-score': 0.49719237413152595, 'support': 64736.0}, 'weighted avg': {'precision': 0.6950936101139109, 'recall': 0.5401322293623332, 'f1-score': 0.5804209718481578, 'support': 64736.0}}"
